	Jedek2	Jedek34	Jedek5	Jedek31	Jedek32	Jedek38	Jedek20	Jedek16	Jahai13	Jahai6
to throw	paŋkaʔ	baliŋ	paŋkaʔ	paŋkaʔ	puŋal	?	paŋkaʔ	paŋkaʔ	paŋkaʔ	paŋkaʔ
to tie	ʔikɛt	ʔikɛt	ʔikɛt	ʔikɛt	ʔikɛt	?	ʔikɛt	ʔikɛt	ʔikɛt	ʔikɛt
to rub	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ	?	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ	gosɔ̃ʔ
to wipe	sapuh	sapuh	sapuh	sapuh	sapuh	?	sapuh	hilap	sapuh	sapuh
to scratch	kac	kac	kac	kac	kac	?	kac	kac	kac	kac
to sew	jahit	jahit	jahit	jahit	jahit	?	jahit	jahit	jahit	jahit
to laugh	lkluk	lkluk	lkluk	lkluk	lkluk	?	lkluk	lkluk	sitkət	lkluk
to sing	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ	?	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ	pɲlɔɲ
to dance	jogɛʔ	?	kŋsiŋ	kŋsiŋ	kŋsiŋ	?	jogɛʔ	jogɛʔ	kŋsiŋ	jogɛʔ
to play	mayin	mayin	pnguh	mayin	mayin	?	mayin	pnguh	mayin	mnmin
to fight	lawən	lawən	lawən	lawən	lawən	?	balɔh	balɔh	guhcɔh	guhcɔh
to fear	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ	?	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ	ʔntɨŋ
to say	cɔl	cɔl	cɔl	cɔl	ckwɨk	?	cɔl	cɔl	cɔl	cɔl
to hear	kjeŋ	ʔnteŋ	kjeŋ	kjeŋ	kjeŋ	?	kjeŋ	kjeŋ	kjeŋ	kjeŋ
to smell	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ	?	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ	ʔɔ̃ɲ
to know	ltʔet	ʔtʔet	ltʔet	ltʔet	ltʔet	?	ltʔet	ltʔet	ltʔet	ltʔet
to count	bilaŋ	bilaŋ	bilaŋ	bilaŋ	bilaŋ	?	bilaŋ	bilaŋ	bilaŋ	bilɛŋ
to think	piki	biyət	piki	ʔiŋɛt	piki	?	piki	piki	piki	pikir
to fall (drop)	dahɛs	dahɛs	dahɛs	dahɛs	dahɛs	?	dahɛs	dahɛs	rɛs	tbəl
to flow	ʔayũt	?	ʔali	ʔayũt	ʔayũt	?	ʔayũt	ʔayũt	wet	mŋalir
to rain	hujan	hujan	hujan	hujan	hujan	?	hujan	hujan	hĩc	hĩc
to burn	baka	tʔɔp	baka	cɔm	baka	?	baka	cos	tʔɔp	syɨŋ
to blow (of wind)	bos	?	hilhul	ʔaŋin bəw	hilhul	?	hilhul	hilhul	pɨt	thup
to swell	ʔɔpɔ̃h	kmbaŋ	kmbaŋ	plkuc	kmbaŋ	?	kmbaŋ	kmbaŋ	kmbaŋ	kmbaŋ
what?	cʔay	?	cʔay	cabap	caybap	?	cabap	cabap	mɛy ʔayoʔ	mamɛy
when?	?	kaduy	bilaʔ	bilaʔ	bilaʔ	?	bilaʔ	bilaʔ	mapuʔ bilaʔ	bilaʔ
